sinit scanner runtrial onsettime Name Bid RT 
SB_0007 1 1 3.014751e+00 popcorn.bmp 1 2.204977e+00 
SB_0007 1 2 1.401643e+01 tampico.bmp 2 1.806794e+00 
SB_0007 1 3 2.101771e+01 bottledwater.bmp 0 1.778117e+00 
SB_0007 1 4 2.701829e+01 taquitos.bmp 2 1.929305e+00 
SB_0007 1 5 3.201943e+01 almonds.bmp 1 1.721633e+00 
SB_0007 1 6 3.702018e+01 rockstar.bmp 3 8.224284e-01 
SB_0007 1 7 4.402138e+01 avocado.bmp 2 1.372523e+00 
SB_0007 1 8 4.902211e+01 vitaminwater_zero.bmp 1 1.008599e+00 
SB_0007 1 9 5.502318e+01 quench.bmp 0 1.621839e+00 
SB_0007 1 10 6.102416e+01 chocolatemilk.bmp 3 1.818399e+00 
SB_0007 1 11 6.902546e+01 macaronicheese.bmp 1 1.231019e+00 
SB_0007 1 12 7.500968e+01 gatorade_lowcal.bmp 0 1.804385e+00 
SB_0007 1 13 8.701165e+01 yogurt.bmp 2 1.291989e+00 
SB_0007 1 14 9.202921e+01 chocolateshake.bmp 3 1.619390e+00 
SB_0007 1 15 9.802990e+01 applejuice_lowsugar.bmp 0 2.563557e+00 
SB_0007 1 16 1.030143e+02 pastry.bmp 1 2.140608e+00 
SB_0007 1 17 1.100154e+02 cereal.bmp 3 2.237659e+00 
SB_0007 1 18 1.250180e+02 grainbread.bmp 2 3.290891e+00 
SB_0007 1 19 1.350196e+02 applejuice.bmp 0 1.945764e+00 
SB_0007 1 20 1.400204e+02 yogurt.bmp 2 1.063311e+00 
SB_0007 1 21 1.450212e+02 snapple.bmp 3 1.466796e+00 
SB_0007 1 22 1.520223e+02 grainbread.bmp 1 1.301083e+00 
SB_0007 1 23 1.580233e+02 bigmac2.bmp 2 2.229463e+00 
SB_0007 1 24 1.640076e+02 dietcoke.bmp 3 1.524437e+00 
SB_0007 1 25 1.690083e+02 snapple.bmp 1 9.085935e-01 
SB_0007 1 26 1.740259e+02 englishmuffin.bmp 1 1.659838e+00 
SB_0007 1 27 1.790267e+02 sprite.bmp 3 1.337993e+00 
SB_0007 1 28 1.840275e+02 gatorade.bmp 2 1.245098e+00 
SB_0007 1 29 1.890116e+02 rockstar_sugarfree.bmp 3 2.594414e+00 
SB_0007 1 30 1.950127e+02 drpepper.bmp 3 3.623837e+00 
SB_0007 1 31 2.010136e+02 salad.bmp 999 999 
SB_0007 1 32 2.080147e+02 reeses.bmp 3 2.431559e+00 
SB_0007 1 33 2.140323e+02 tampico.bmp 2 1.307367e+00 
SB_0007 1 34 2.240174e+02 nachos.bmp 2 2.072505e+00 
SB_0007 1 35 2.330188e+02 cookies.bmp 3 2.896926e+00 
SB_0007 1 36 2.400200e+02 cucumber.bmp 2 1.256722e+00 
SB_0007 1 37 2.450208e+02 applejuice.bmp 0 2.509002e+00 
SB_0007 1 38 2.540056e+02 quench.bmp 0 1.688263e+00 
SB_0007 1 39 2.650241e+02 stringcheese.bmp 999 999 
SB_0007 1 40 2.760258e+02 snickers2.bmp 3 1.338850e+00 
SB_0007 1 41 2.860107e+02 orangedrink.bmp 3 2.399959e+00 
SB_0007 1 42 2.930119e+02 taquitos.bmp 2 8.758419e-01 
SB_0007 1 43 2.990297e+02 drpepper.bmp 3 1.816675e+00 
SB_0007 1 44 3.040304e+02 pastry.bmp 3 2.912867e+00 
SB_0007 1 45 3.160157e+02 caprisun.bmp 1 1.156905e+00 
SB_0007 1 46 3.220167e+02 cupcake.bmp 3 9.275762e-01 
SB_0007 1 47 3.280176e+02 grapes.bmp 0 1.790794e+00 
SB_0007 1 48 3.350188e+02 cupcake.bmp 0 3.078661e-03 
SB_0007 1 49 3.400196e+02 cereal2.bmp 3 1.176606e+00 
SB_0007 1 50 3.460206e+02 snickers2.bmp 2 8.666740e-01 
